2964,16131,2354,2969,12807,6982,10873,10531,3136,8625,0,3503,2811,9054,10817,11304,3559,12628,9978,12292,8402,4007,7006,4385,3258,8595,3878,12618,11406,15578,12295,2275,8584,4020,9535,10241,15639,7615,9140,9198,4698,6588,8830,15268,10961,9337,6918,8799,8983,10312,7348,11714,13373,1687,6853,6484,15658,6600,3181,11131,3532,4011,9805,1101,10835,8985,2176,2948,13124,3207,11538,1690,12840,13612,4228,9768,9476,8680,4083,4006,6712,5964,3680,7913,6010,1130,4067,4183,3756,11967,1537,8711,13802,13975,3629,12409,18102,8452,11652,11190
1431,17465,1270,6379,14142,8316,12207,11865,1127,10959,2547,0,2886,4323,13151,15526,2341,13963,12312,13627,9737,1625,9340,5060,3933,9929,2135,13952,15343,16913,17291,721,10919,1189,11869,12576,16974,3927,11474,6456,5397,8923,11164,16602,13297,11672,10048,11133,11317,11647,3162,13048,14708,1255,9188,8818,16993,8935,1756,12466,1184,9228,11140,2297,12169,6462,2250,6359,14459,382,12873,3585,14174,14947,2855,12102,12785,5800,6418,2760,9046,9893,1950,10247,8344,3321,1238,1359,8760,19259,1481,6160,16136,15310,803,13744,20437,3932,12986,12525
2067,14094,2371,4028,10770,4945,8836,8494,4585,9015,3039,3276,0,8501,12457,12154,1718,10591,11076,10255,6365,6756,8773,2173,1380,6558,2036,10581,11972,13541,13919,3980,8975,3931,9860,10503,13602,8632,8540,8504,2484,8355,10426,13231,9925,9587,6676,10566,10761,8275,7585,9677,11336,2168,6365,5952,13621,8368,5324,9094,2632,5070,7768,2963,8798,8510,1426,4008,11087,3659,9501,2749,10803,11575,8149,10361,9414,7849,5851,7420,8479,4200,6833,7978,7777,2484,4261,4925,5522,15887,3713,8525,15569,11938,2768,10372,19870,9972,9615,9153
6833,21569,6971,9340,18245,12420,16311,15969,3993,13920,9903,6379,9440,0,16112,16599,7035,18066,15273,17730,13840,3153,12301,11703,10779,14033,6717,18056,16701,21016,17590,5557,13879,5461,14830,15536,21077,819,14435,1554,10744,11883,14125,20706,16256,14632,14151,14094,14278,15750,1699,17152,18811,6957,12148,11779,21096,11895,3386,16569,6098,12188,15243,6335,16272,1427,7767,9319,18562,6682,16976,9038,18278,19050,2305,15063,14771,857,9378,1836,12007,13087,2857,13208,11305,9074,5458,3654,11720,17262,5905,24,25818,19413,5872,17847,30502,709,17090,16628
12726,4427,12036,7671,2302,13589,3091,3357,13205,3246,10807,13572,11600,16273,0,887,20395,2297,986,3193,5176,14594,4463,7597,11356,5095,20077,2823,733,3163,2147,12505,3205,20677,2168,862,3036,14834,2604,16418,7910,4641,2583,2548,1528,2233,4638,2329,2922,3014,14568,2247,2006,11368,4075,4772,2125,4653,12835,2277,13713,6893,3758,11227,3721,16204,11857,7650,2295,13276,1935,9788,3083,2313,14853,1994,2372,15900,11303,14692,4502,5335,14266,3745,5961,9708,21008,14252,6413,2154,12462,15930,11136,3294,21087,2871,7607,15672,2185,2847
14208,3723,15509,8513,1659,6786,2667,2933,14529,3423,11650,14792,11082,17116,738,0,13592,1654,1440,2550,4752,16700,5306,7173,10884,4671,13274,2399,309,3198,2179,13348,3383,13874,2147,841,3070,15676,2583,17260,7486,5483,2760,2495,1097,2211,4789,3172,3764,2695,15410,1858,1363,12210,4252,4949,1693,5495,13678,1957,13633,7735,3334,12069,3297,17047,11904,8492,1871,14731,1552,10630,2440,1889,15695,2052,2351,16742,12145,15534,5344,5167,16777,3723,6804,10550,14205,14869,7255,2551,13304,16773,11978,2773,14284,2228,8005,16514,1796,2461
1232,14847,1856,5954,11524,5698,9589,9247,4161,9768,3688,2441,2266,7674,13210,12908,0,11344,11829,11008,7118,4104,9486,3953,3306,7311,1067,11334,12725,14294,14673,2978,9728,3507,10614,11256,14355,6445,9293,7676,3673,19181,11180,13984,10679,10340,7429,11892,11514,9028,5871,10430,12089,2395,9049,8506,14374,19194,4012,9847,1797,6997,8522,3439,9551,7682,2224,5934,11840,2824,10255,4675,11556,12329,6435,11114,10167,7021,16677,5706,9524,7275,4431,8731,18603,4410,3490,4359,8734,16641,3119,7698,32529,12692,1934,11125,37213,9352,10368,9906
13904,5526,15206,9632,170,6482,1236,2252,14225,4920,12414,14489,10779,18142,1857,1554,13289,0,2938,1062,5297,16397,6425,8454,10581,5792,12971,974,1371,3548,2531,15227,4880,13571,3645,2338,3609,18273,4080,18144,8495,6602,4258,2006,2018,3709,5910,4291,4883,2357,17226,944,736,12351,7228,7930,1358,6614,15933,1597,13330,9539,2969,12833,3175,18151,11601,9611,487,14428,1494,12123,951,975,17789,3550,3848,17489,13264,17061,6463,6697,16474,6437,7923,11858,13902,14566,8374,3116,15969,18166,13097,1719,13981,740,9124,19612,882,1095
12245,4564,11555,7190,2639,7110,2938,3257,12724,2631,10326,13091,11120,15792,1049,1295,13917,2634,0,3386,5076,14113,3983,7498,10876,4996,13599,3093,1289,5643,2946,12024,2590,14199,1781,758,3819,14353,2611,15937,7811,4160,1968,3225,1425,2239,4644,1849,2441,3019,14087,2298,2343,10887,3460,4157,2673,4172,12354,2228,13232,6412,3659,10746,3622,15723,11376,7169,2564,12796,1826,9307,3420,2644,14372,1378,2379,15419,10822,14211,4021,5340,13785,3298,5480,9227,13656,13771,5932,2618,11981,15450,10655,3971,13217,3208,14955,15191,2236,2798
13823,5445,15124,10635,1018,6401,1200,2478,14144,5027,12333,14408,10698,18061,2704,2402,13208,838,3785,0,5216,16316,7583,8373,10500,5710,12890,320,2219,4892,3379,15146,4986,13490,3845,3186,4953,18192,4282,18063,8414,7450,4735,4582,2655,3911,5829,5139,5123,2398,17144,1168,1583,12269,7146,7849,2206,7462,15852,1823,13249,9458,3196,12752,3433,18069,11519,10615,842,14346,2026,12042,1050,1200,17708,3751,4050,17408,15144,16980,7622,6616,16392,6355,8469,11777,13820,14485,9754,7239,15888,18084,13337,3290,13900,586,9971,19531,1106,1345
